Id,GameId,Score,Winner,Penalty,Minute
19,16148,1-1,False,False,79
5027,9057,1-1,False,False,14
5028,9057,2-1,False,False,24
22070,11053,1-0,False,True,22
22071,11053,2-1,False,False,63
22072,11053,3-2,True,True,88
22099,12054,0-1,True,False,34
22100,9059,1-0,True,False,51
22103,9062,2-1,False,False,24
22104,9062,3-2,False,False,52
22105,9062,3-3,False,True,80
22106,9064,2-1,False,False,77
22107,9064,2-2,False,False,79
22108,9066,1-0,False,False,26
22109,9066,2-0,False,True,27
22110,9066,3-2,True,False,79
22111,9067,1-1,False,False,93
23111,21156,1-0,False,False,8
23112,21156,2-0,False,False,45
23113,21156,3-0,True,False,76
