Id,Opponent,DateTime,Serie,Result,ResultCode,Stadion,Home_match,HomeMatchInfo,FullInfo,Referee
18165,FC Lahti,28.10.2017 14.00.00,Veikkausliiga,2-1,2,Lahden kisapuisto,False,Away,Veikkausliiga 28.10.2017 14.00 FC Lahti - HIFK 2-1     Lahden kisapuisto,
18164,SJK,20.10.2017 18.30.00,Veikkausliiga,2-2,0,Bolt Arena,True,Home,Veikkausliiga 20.10.2017 18.30 HIFK - SJK 2-2     Bolt Arena,
18163,FC Inter,16.10.2017 18.30.00,Veikkausliiga,4-1,2,Veritas Stadion,False,Away,Veikkausliiga 16.10.2017 18.30 FC Inter - HIFK 4-1     Veritas Stadion,
18162,PS Kemi,12.10.2017 18.30.00,Veikkausliiga,4-0,1,Bolt Arena,True,Home,Veikkausliiga 12.10.2017 18.30 HIFK - PS Kemi 4-0     Bolt Arena,
18161,VPS,29.9.2017 18.30.00,Veikkausliiga,1-2,1,Elisa Stadion,False,Away,Veikkausliiga 29.09.2017 18.30 VPS - HIFK 1-2     Elisa Stadion,
18160,KuPS,24.9.2017 18.30.00,Veikkausliiga,3-2,2,Savon Sanomat Areena,False,Away,Veikkausliiga 24.09.2017 18.30 KuPS - HIFK 3-2     Savon Sanomat Areena,
18159,JJK,15.9.2017 18.30.00,Veikkausliiga,1-1,0,Bolt Arena,True,Home,Veikkausliiga 15.09.2017 18.30 HIFK - JJK 1-1     Bolt Arena,
18158,HJK,12.9.2017 18.30.00,Veikkausliiga,2-1,2,Bolt Arena,False,Away,Veikkausliiga 12.09.2017 18.30 HJK - HIFK 2-1     Bolt Arena,
18157,IFK Mariehamn,8.9.2017 18.30.00,Veikkausliiga,0-0,0,Bolt Arena,True,Home,Veikkausliiga 08.09.2017 18.30 HIFK - IFK Mariehamn 0-0     Bolt Arena,
18156,Ilves,26.8.2017 17.00.00,Veikkausliiga,2-1,2,Tammelan Stadion,False,Away,Veikkausliiga 26.08.2017 17.00 Ilves - HIFK 2-1     Tammelan Stadion,
18155,RoPS,19.8.2017 17.00.00,Veikkausliiga,1-0,1,Bolt Arena,True,Home,Veikkausliiga 19.08.2017 17.00 HIFK - RoPS 1-0     Bolt Arena,
18154,Ilves,14.8.2017 18.30.00,Veikkausliiga,4-3,2,Tammelan Stadion,False,Away,Veikkausliiga 14.08.2017 18.30 Ilves - HIFK 4-3     Tammelan Stadion,
18153,VPS,9.8.2017 18.30.00,Veikkausliiga,2-1,1,Bolt Arena,True,Home,Veikkausliiga 09.08.2017 18.30 HIFK - VPS 2-1     Bolt Arena,
18152,FC Inter,4.8.2017 18.30.00,Veikkausliiga,3-0,2,Veritas Stadion,False,Away,Veikkausliiga 04.08.2017 18.30 FC Inter - HIFK 3-0     Veritas Stadion,
18151,HJK,31.7.2017 18.30.00,Veikkausliiga,2-0,2,Bolt Arena,False,Away,Veikkausliiga 31.07.2017 18.30 HJK - HIFK 2-0     Bolt Arena,
18150,IFK Mariehamn,22.7.2017 16.00.00,Veikkausliiga,1-1,0,Wiklöf Holding Arena,False,Away,Veikkausliiga 22.07.2017 16.00 IFK Mariehamn - HIFK 1-1     Wiklöf Holding Arena,
18149,KuPS,17.7.2017 18.30.00,Veikkausliiga,1-4,2,Bolt Arena,True,Home,Veikkausliiga 17.07.2017 18.30 HIFK - KuPS 1-4     Bolt Arena,
17165,RoPS,8.7.2017 17.00.00,Veikkausliiga,2-2,0,Rovaniemen keskuskenttä,False,Away,Veikkausliiga 08.07.2017 17.00 RoPS - HIFK 2-2     Rovaniemen keskuskenttä,
17163,FC Lahti,27.6.2017 18.30.00,Veikkausliiga,4-1,2,Lahden kisapuisto,False,Away,Veikkausliiga 27.06.2017 18.30 FC Lahti - HIFK 4-1     Lahden kisapuisto,
17162,JJK,21.6.2017 18.30.00,Veikkausliiga,0-3,1,Harjun stadion,False,Away,Veikkausliiga 21.06.2017 18.30 JJK - HIFK 0-3     Harjun stadion,
17161,PS Kemi,17.6.2017 15.00.00,Veikkausliiga,0-2,2,Bolt Arena,True,Home,Veikkausliiga 17.06.2017 15.00 HIFK - PS Kemi 0-2     Bolt Arena,
17160,SJK,14.6.2017 18.30.00,Veikkausliiga,0-2,2,Bolt Arena,True,Home,Veikkausliiga 14.06.2017 18.30 HIFK - SJK 0-2     Bolt Arena,
17159,Ilves,4.6.2017 18.30.00,Veikkausliiga,0-1,2,Bolt Arena,True,Home,Veikkausliiga 04.06.2017 18.30 HIFK - Ilves 0-1     Bolt Arena,
17158,VPS,31.5.2017 18.30.00,Veikkausliiga,1-1,0,Elisa Stadion,False,Away,Veikkausliiga 31.05.2017 18.30 VPS - HIFK 1-1     Elisa Stadion,
17157,FC Inter,27.5.2017 15.00.00,Veikkausliiga,0-2,2,Bolt Arena,True,Home,Veikkausliiga 27.05.2017 15.00 HIFK - FC Inter 0-2     Bolt Arena,
17156,HJK,23.5.2017 18.30.00,Veikkausliiga,0-0,0,Bolt Arena,True,Home,Veikkausliiga 23.05.2017 18.30 HIFK - HJK 0-0     Bolt Arena,
17155,IFK Mariehamn,19.5.2017 18.30.00,Veikkausliiga,1-1,0,Bolt Arena,True,Home,Veikkausliiga 19.05.2017 18.30 HIFK - IFK Mariehamn 1-1     Bolt Arena,
17154,KuPS,12.5.2017 18.30.00,Veikkausliiga,2-1,2,Savon Sanomat Areena,False,Away,Veikkausliiga 12.05.2017 18.30 KuPS - HIFK 2-1     Savon Sanomat Areena,
17153,RoPS,6.5.2017 18.00.00,Veikkausliiga,1-0,1,Bolt Arena,True,Home,Veikkausliiga 06.05.2017 18.00 HIFK - RoPS 1-0     Bolt Arena,
